,,"Продажа автомобилей ""MB Motors""","Автомобили, Мотоциклы (51) ","
				Продажа автомобилей ""MB Motors""
				ул. ХаГистадрут 33, Хайфа								Тел. 04-6211151, 052-3257457http://mbmotorscar.co.il",http://info24.co.il/coupons/vse-goroda/avtomobili-mototsikly
,,"Электроника и акустика ""Электрик Маарахот""","Аудио, Видео-техника (39) ","
				Электроника и акустика ""Электрик Маарахот""
				Кфар-Ясиф				(напротив АЗС ""Делек"")				Тел. 054-6933338",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
mailto:north.piano@gmail.com,north.piano@gmail.com,"Музыкальные инструменты ""Псантерей""","Аудио, Видео-техника (39) ","
				Музыкальные инструменты ""Псантерей""
				ул. ХаМелаха 1, Йокнеам				(промзона)				Тел. 04-6206606, 054-9988948north.piano@gmail.com",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
,,"Автомобильная акустика ""Auto Sound""","Аудио, Видео-техника (39) ","
				Автомобильная акустика ""Auto Sound""
				ул. Маклеф 2, Хайфа				(Чекпост)				Тел. 04-8622217				Факс. 1534-8622217http://www.autos-sound.co.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
mailto:byosi@netvision.net.il,byosi@netvision.net.il,"""Яд шния"" - магазин подержанных вещей","Аудио, Видео-техника (39) ","
				""Яд шния"" - магазин подержанных вещей
				ул. ХаМагаль 7, Кармиэль				(промзона)				Тел. 04-9980080, 050-6911188byosi@netvision.net.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
mailto:auto_media@netvision.net.il,auto_media@netvision.net.il,"Автомобильная электроника и звук ""Авто Медиа""","Аудио, Видео-техника (39) ","
				Автомобильная электроника и звук ""Авто Медиа""
				ул. Хаитстадион 18, Кирьят Хаим								Тел. 04-8492206auto_media@netvision.net.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
,,"Установка охранных систем ""Vicom Systems""","Аудио, Видео-техника (39) ","
				Установка охранных систем ""Vicom Systems""
				Север Израиля								Тел. 050-2200081http://haifa.net63.net",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
mailto:nader@homeauto.co.il,nader@homeauto.co.il,"Системы Умный Дом ""Home Auto""","Аудио, Видео-техника (39) ","
				Системы Умный Дом ""Home Auto""
				Ярка				(На кольце ""Мерказ Амазон"")				Тел. 054-6432431, 054-3028026				Факс. 04-9804554nader@homeauto.co.ilhttp://homeauto.co.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
,,"Бытовая техника ""Рим""","Аудио, Видео-техника (39) ","
				Бытовая техника ""Рим""
				ул. ХаВади 38, Хайфа								Тел. 04-8512255, 054-4415058http://reemshop.co.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
,,"Спутниковое телевидение ""A.P. Service""","Аудио, Видео-техника (39) ","
				Спутниковое телевидение ""A.P. Service""
				ул. ХаХарошет 11, Кармиэль				(наротив ""лишкат аводы"")				Тел. 072-2522540, 054-4222703",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
,,"Магазин - автосервис ""Цлиль Хелек Медиа""","Аудио, Видео-техника (39) ","
				Магазин - автосервис ""Цлиль Хелек Медиа""
				ул. ХаМусахим 27, Хайфа				Мифрац Хайфа (""Чек-Пост"")				Тел. 04-8490777				Факс. 04-8720670",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie
mailto:sh.g.system@gmail.com,sh.g.system@gmail.com,"Охранные системы ""SH. G. System""","Аудио, Видео-техника (39) ","
				Охранные системы ""SH. G. System""
				ул. Герцлия 32, Хайфа								Тел. 054-3133582, 058-4122122, 077-7172534sh.g.system@gmail.comhttp://shg4u.co.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:tavor@tavor.ws,tavor@tavor.ws,"Шиномонтаж и автомойка ""Ицтальвут Тавор""","Аудио, Видео-техника (39) ","
				Шиномонтаж и автомойка ""Ицтальвут Тавор""
				ул. Маклеф 3, Хайфа				(""Чек-пост"")				Тел. 04-8413078, 057-7760006, 057-7737811				Факс. 04-8405044tavor@tavor.wshttp://tavor.ws",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:antive007@013.net,antive007@013.net,"Охранные системы ""Антив Электроника""","Аудио, Видео-техника (39) ","
				Охранные системы ""Антив Электроника""
				ул. Моше Гошен 29, Кирьят Моцкин				т.ц. ""Раско""				Тел. 04-8708750, 054-4612127, 052-2612127				Факс. 04-8710483antive007@013.nethttp://antive.co.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
,,"Гараж ""Мусах Назар Стар""","Аудио, Видео-техника (39) ","
				Гараж ""Мусах Назар Стар""
				Шейх Данун								Тел. 054-5675385, 04-9522077				Факс. 04-9522077",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:sales@mobilementor.co.il,sales@mobilementor.co.il,"Мобильные телефоны ""Mobile Mentor""","Аудио, Видео-техника (39) ","
				Мобильные телефоны ""Mobile Mentor""
				ул. Ахи Эйлат 35, Кирьят Хаим								Тел. 04-8406090sales@mobilementor.co.ilhttp://mobilementor.co.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:stopgames.sg@gmail.com,stopgames.sg@gmail.com,"Игровые консоли и компьютерные игры ""StopGames""","Аудио, Видео-техника (39) ","
				Игровые консоли и компьютерные игры ""StopGames""
				ул. Моше Гошен 31, Кирьят Моцкин								Тел. 04-6294386stopgames.sg@gmail.comhttp://stopgames.co.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
,,"Бытовая техника ""Bigelectric""","Аудио, Видео-техника (39) ","
				Бытовая техника ""Bigelectric""
				Дерех ХаАлуф Узи Наркис, Маалот				(рядом с т.ц. ""Кохав ХаЦафон"")				Тел. 04-9977249http://electrokubi.co.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:telron@012.net.il,telron@012.net.il,"Бытовая техника ""Тельрон""","Аудио, Видео-техника (39) ","
				Бытовая техника ""Тельрон""
				ул. Вайцман 71, Нагария								Тел. 04-9928240				Факс. 04-9517337telron@012.net.ilhttp://www.telron.co.il",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:tateliron1@gmail.com,tateliron1@gmail.com,"Ремонт плазменных и LCD-телевизоров ""Телирон""","Аудио, Видео-техника (39) ","
				Ремонт плазменных и LCD-телевизоров ""Телирон""
				ул. Ханс Молер 3, Кирьят Бялик								Тел. 04-8729820, 052-4654630tateliron1@gmail.com",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:wasfe.mansour@gmail.com,wasfe.mansour@gmail.com,"Электротовары ""MHDR Electronics""","Аудио, Видео-техника (39) ","
				Электротовары ""MHDR Electronics""
				ул. Шломо Бен Йосеф 25, Нагария								Тел. 04-8490292				Факс. 04-8490370wasfe.mansour@gmail.comhttp://www.mhdr-elec.com",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
,,"Автозвук ""Махди Маарехет""","Аудио, Видео-техника (39) ","
				Автозвук ""Махди Маарехет""
				Ярка				(рядом с кольцом ""Амш Стар"")				Тел. 04-9562569, 050-7205738",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
,,"Подержанные товары ""Яд Шния""","Аудио, Видео-техника (39) ","
				Подержанные товары ""Яд Шния""
				ул. ХаХарошет 11, Кармиэль								Тел. 04-9981118",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:jad.1235@hotmail.com,jad.1235@hotmail.com,"Автомобильная электроника и аксессуары","Аудио, Видео-техника (39) ","
				Автомобильная электроника и аксессуары
				Ярка								Тел. 052-6777283, 04-9964508				Факс. 04-9964508jad.1235@hotmail.com",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
,,"Бытовая техника ""Мекор ХаМатанот""","Аудио, Видео-техника (39) ","
				Бытовая техника ""Мекор ХаМатанот""
				Кфар-Ясиф				(на выезде, по правой стороне)				Тел. 04-9976567, 050-5891269, 050-5891268",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
,,"Автомобильная электроника ""ХаТеумим""","Аудио, Видео-техника (39) ","
				Автомобильная электроника ""ХаТеумим""
				Кфар-Ясиф				(рядом с АЗС ""Дизель"")				Тел. 054-2066741, 054-4232051",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:max507@walla.com,max507@walla.com,"Ремонт бытовой техники ""Telemax""","Аудио, Видео-техника (39) ","
				Ремонт бытовой техники ""Telemax""
				ул. ХаХарошет 11, Кармиэль				(Мерказ Шваким, напротив ""Безек"")				Тел. 04-9582095, 077-4066665max507@walla.com",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
mailto:hazbon40@gmail.com,hazbon40@gmail.com,"Гараж ""Хашмаль Рехев Нагария""","Аудио, Видео-техника (39) ","
				Гараж ""Хашмаль Рехев Нагария""
				ул. Дерех ХаАцмаут 35, Нагария								Тел. 04-9821070, 052-2792011hazbon40@gmail.comhttp://www.car10.co.il/",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
,,"Автомобильная электроника ""Стерео-Гигант""","Аудио, Видео-техника (39) ","
				Автомобильная электроника ""Стерео-Гигант""
				Януах-Джат				(при въезде, по левой стороне)				Тел. 052-5909700, 052-2251249",http://info24.co.il/coupons/vse-goroda/audio-video-televidenie/2
,,"Сауна-лофт ""Аристократ""","Бассейны, Сауны, Бани (8) ","
				Сауна-лофт ""Аристократ""
				ул. Халуцей Таасия 78, Хайфа				(Мифрац Хайфа)				Тел. 054-6220252http://aristocratspa.co.il/events/rus/",http://info24.co.il/coupons/vse-goroda/basseiny_bani_sauny
,,"Лофт-ресторан ""To You"" в Хайфе","Бассейны, Сауны, Бани (8) ","
				Лофт-ресторан ""To You"" в Хайфе
				ул. Халуцей ХаТа'асия 80, Мифрац Хайфа				(Кирьят Хаим)				Тел. 04-8400994http://toyou.club",http://info24.co.il/coupons/vse-goroda/basseiny_bani_sauny
mailto:energy9681@gmail.com,energy9681@gmail.com,"Сауна-СПА для особых мероприятий ""Party Loft""","Бассейны, Сауны, Бани (8) ","
				Сауна-СПА для особых мероприятий ""Party Loft""
				ул. Маклеф 2, Хайфа				(Чекпост)				Тел. 050-9000863energy9681@gmail.comhttp://partyloft.co.il",http://info24.co.il/coupons/vse-goroda/basseiny_bani_sauny
,,"Сауна-СПА для особых мероприятий ""Бриза""","Бассейны, Сауны, Бани (8) ","
				Сауна-СПА для особых мероприятий ""Бриза""
				ул. Порцей Келе Акко 6, Нагария				(напротив ""Life & Fitness"")				Тел. 04-9823998",http://info24.co.il/coupons/vse-goroda/basseiny_bani_sauny
,,"Гостиница ""Carlton Hotel Nahariya""","Бассейны, Сауны, Бани (8) ","
				Гостиница ""Carlton Hotel Nahariya""
				ул. ХаГаатон 23, Нагария								Тел. 04-9005511      				Факс. 04-9823771http://www.carlton-hotel.co.il/",http://info24.co.il/coupons/vse-goroda/basseiny_bani_sauny
,,"Гостиница ""Madison Hotel Nahariya""","Бассейны, Сауны, Бани (8) ","
				Гостиница ""Madison Hotel Nahariya""
				ул. ХаАлия 17, Нагария								Тел. 073-2005000 				Факс. 073-2005010 http://www.madison-hotel.co.il",http://info24.co.il/coupons/vse-goroda/basseiny_bani_sauny
,,"Реабилитационный центр ""Яд бе-Яд""","Бассейны, Сауны, Бани (8) ","
				Реабилитационный центр ""Яд бе-Яд""
				Кфар Врадим				(рядом с кольцом № 6, по дороге на Таршиху)				Тел. 04-9575225, 04-9575224http://www.yad-be-yad.co.il",http://info24.co.il/coupons/vse-goroda/basseiny_bani_sauny
mailto:maayan.h@walla.com,maayan.h@walla.com,"Бассейн- СПА ""Maayan"" ","Бассейны, Сауны, Бани (8) ","
				Бассейн- СПА ""Maayan"" Мошав Бен Ами, Нагария				Часы работы - с 9:00 до 21:00				Тел. 073-7260556, 057-6200210, 050-5811760maayan.h@walla.com http://www.m-spa.co.il",http://info24.co.il/coupons/vse-goroda/basseiny_bani_sauny
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Безопасность (8) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/bezopasnost
mailto:lex.system.il@gmail.com,lex.system.il@gmail.com,"Системы видеонаблюдения, сигнализации Lex System","Безопасность (8) ","
				Системы видеонаблюдения, сигнализации Lex System
				ул. ХаГерцлия 10, Хайфа								Тел. 053-3033085lex.system.il@gmail.comhttp://lex-system.co.il",http://info24.co.il/coupons/vse-goroda/bezopasnost
mailto:eyal@orionsystems.co.il,eyal@orionsystems.co.il,"Компьютеры и охранные системы Orion Systems","Безопасность (8) ","
				Компьютеры и охранные системы Orion Systems
				ул. ХаХарошет 17, Кармиэль				(АЗС Дор Алон)				Тел. 04-9905878, 04-9580724, 054-4668552				Факс. 04-9580696eyal@orionsystems.co.ilhttp://orionsystems.co.il",http://info24.co.il/coupons/vse-goroda/bezopasnost
,,"Установка охранных систем ""Vicom Systems""","Безопасность (8) ","
				Установка охранных систем ""Vicom Systems""
				Север Израиля								Тел. 050-2200081http://haifa.net63.net",http://info24.co.il/coupons/vse-goroda/bezopasnost
,,"Спутниковое телевидение ""A.P. Service""","Безопасность (8) ","
				Спутниковое телевидение ""A.P. Service""
				ул. ХаХарошет 11, Кармиэль				(наротив ""лишкат аводы"")				Тел. 072-2522540, 054-4222703",http://info24.co.il/coupons/vse-goroda/bezopasnost
mailto:sh.g.system@gmail.com,sh.g.system@gmail.com,"Охранные системы ""SH. G. System""","Безопасность (8) ","
				Охранные системы ""SH. G. System""
				ул. Герцлия 32, Хайфа								Тел. 054-3133582, 058-4122122, 077-7172534sh.g.system@gmail.comhttp://shg4u.co.il",http://info24.co.il/coupons/vse-goroda/bezopasnost
mailto:antive007@013.net,antive007@013.net,"Охранные системы ""Антив Электроника""","Безопасность (8) ","
				Охранные системы ""Антив Электроника""
				ул. Моше Гошен 29, Кирьят Моцкин				т.ц. ""Раско""				Тел. 04-8708750, 054-4612127, 052-2612127				Факс. 04-8710483antive007@013.nethttp://antive.co.il",http://info24.co.il/coupons/vse-goroda/bezopasnost
mailto:skyline.israel@hotmail.com,skyline.israel@hotmail.com,"Спутниковое тв, охранные системы ""Skyline""","Безопасность (8) ","
				Спутниковое тв, охранные системы ""Skyline""
				ул. Арлозоров 3, Хайфа								Тел. 050-2603240, 053-5230455skyline.israel@hotmail.com",http://info24.co.il/coupons/vse-goroda/bezopasnost
mailto:apevzner.cpa@gmail.com,apevzner.cpa@gmail.com,"Бухгалтерия и аудит - Алекс Певзнер","Бухгалтеры, Аудиторы (5) ","
				Бухгалтерия и аудит - Алекс Певзнер
				ул. Шд. ХаГистадрут 25, Хайфа				(здание ""Сити Молл"")				Тел. 052-6349366, 04-9512401apevzner.cpa@gmail.comhttps://facebook.com/apevzner.cpa",http://info24.co.il/coupons/vse-goroda/buhgaltery-auditory
mailto:info@skidki.co.il,info@skidki.co.il,"Реклама в Израиле ""Info24.co.il""","Бухгалтеры, Аудиторы (5) ","
				Реклама в Израиле ""Info24.co.il""
				Телефоны для рекламодателей:								Тел. 073-7508999, (+972)-73-750-8999info@skidki.co.il",http://info24.co.il/coupons/vse-goroda/buhgaltery-auditory
mailto:masb281@gmail.com,masb281@gmail.com,"Бухгалтерия и аудит ""Б.Р.К Хэшбонаут вемисим""","Бухгалтеры, Аудиторы (5) ","
				Бухгалтерия и аудит ""Б.Р.К Хэшбонаут вемисим""
				ул. Ша'ар Пальмер 1, Хайфа								Тел. 04-8642682				Факс. 04-8660081masb281@gmail.com",http://info24.co.il/coupons/vse-goroda/buhgaltery-auditory
mailto:office.redlich@gmail.com,office.redlich@gmail.com,"Центр финансовой экономии ""Махон Рэдлих""","Бухгалтеры, Аудиторы (5) ","
				Центр финансовой экономии ""Махон Рэдлих""
				ул. Сд. Бен Гурион 63/7, Кирьят Бялик				(2-й эт.)				Тел. 1700-700-125office.redlich@gmail.comhttp://orlyred.co.il",http://info24.co.il/coupons/vse-goroda/buhgaltery-auditory
mailto:Danny_y@012.net.il,Danny_y@012.net.il,"Бухгалтерия и аудит ""Ирина и Дани""","Бухгалтеры, Аудиторы (5) ","
				Бухгалтерия и аудит ""Ирина и Дани""
				ул. Тель-Авив 1, Хайфа				(2-й эт.)				Тел. 04-8507710, 054-7933989				Факс. 04-8507855Danny_y@012.net.ilhttp://cpa4all.co.il",http://info24.co.il/coupons/vse-goroda/buhgaltery-auditory
mailto:mail@advancesys.co.il,mail@advancesys.co.il,"Компания ""Адам Маарахот Миткадмот"" - Север Израиля","Бытовая техника (46) ","
				Компания ""Адам Маарахот Миткадмот"" - Север Израиля
				Хайфа, весь Север Израиля								Тел. 077-3202454, 054-9231559mail@advancesys.co.ilhttp://advancesys.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:mail@advancesys.co.il,mail@advancesys.co.il,"Компания ""Адам Маарахот Миткадмот"" - Центр Израиля","Бытовая техника (46) ","
				Компания ""Адам Маарахот Миткадмот"" - Центр Израиля
				Тель-Авив, весь Центр Израиля								Тел. 077-3202454, 054-9231559mail@advancesys.co.ilhttp://advancesys.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:mail@advancesys.co.il,mail@advancesys.co.il,"Компания ""Адам Маарахот Миткадмот"" - Юг Израиля","Бытовая техника (46) ","
				Компания ""Адам Маарахот Миткадмот"" - Юг Израиля
				Ашдод, весь Юг Израиля								Тел. 077-3202454, 054-9231559mail@advancesys.co.ilhttp://advancesys.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:elka0544@gmail.com,elka0544@gmail.com,"Продажа и ремонт мини-баров в Хайфе и Крайот","Бытовая техника (46) ","
				Продажа и ремонт мини-баров в Хайфе и Крайот
				ул. Халуцей Та'асия 10, Хайфа								Тел. 054-4200566, 04-6987737elka0544@gmail.comhttp://mshalal.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:adiziggi@gmail.com,adiziggi@gmail.com,"Ремонт и установка кондиционеров и бойлеров","Бытовая техника (46) ","
				Ремонт и установка кондиционеров и бойлеров
				Север и Центр Израиля								Тел. 052-4735532adiziggi@gmail.com",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
,,"Ремонт холодильников и кондиционеров","Бытовая техника (46) ","
				Ремонт холодильников и кондиционеров
				Меилия (рядом с Маалот)				(напр. т.ц. ""Дабах"")				Тел. 04-9974815, 050-5383041, 050-5757358",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
,,"Продажа и ремонт швейных машин ""Bernina""","Бытовая техника (46) ","
				Продажа и ремонт швейных машин ""Bernina""
				ул. Какаль 98, Кармиэль								Тел. 04-9885890, 052-6800671http://bernina.ru",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:l.g.s_lights@walla.co.il,l.g.s_lights@walla.co.il,"Освещение ""Орот ХаГалиль""","Бытовая техника (46) ","
				Освещение ""Орот ХаГалиль""
				Ярка				(напротив т.ц. ""Амш-Стар"")				Тел. 04-9564002, 054-6674604				Факс. 04-9564003l.g.s_lights@walla.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:sst76@bezeqint.com,sst76@bezeqint.com,"Кондиционеры и подогреваемые полы ""SST""","Бытовая техника (46) ","
				Кондиционеры и подогреваемые полы ""SST""
				ул. Ханс Моллер 24, Кирьят Бялик				(промзона Цур Шалом)				Тел. 04-8761005, 04-8761006				Факс. 04-8760171sst76@bezeqint.comhttp://sst76.com",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
,,"Продажа и обслуживание мини-баров ""Миор""","Бытовая техника (46) ","
				Продажа и обслуживание мини-баров ""Миор""
				Маалот, Нагария, Кармиэль								Тел. 052-5616243, 052-5616244, 04-9572320",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:parnas_plus@nana10.co.il,parnas_plus@nana10.co.il,"Продажа и ремонт кондиционеров ""Parnas Plus""","Бытовая техника (46) ","
				Продажа и ремонт кондиционеров ""Parnas Plus""
				ул. Харошет 74, Кирьят Бялик								Тел. 054-6338183parnas_plus@nana10.co.ilhttp://parnasplus.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:tivahamaim@bezeqint.net,tivahamaim@bezeqint.net,"Мини-бары, фильтры для воды ""Тив-ХаМайм""","Бытовая техника (46) ","
				Мини-бары, фильтры для воды ""Тив-ХаМайм""
				ул. ХаБанай 4, Кармиэль								Тел. 1-800-077-135, 077-4007866				Факс. 04-9081586tivahamaim@bezeqint.nethttp://twater.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:magen.comp@gmail.com,magen.comp@gmail.com,"Ремонт кондиционеров и холодильников","Бытовая техника (46) ","
				Ремонт кондиционеров и холодильников
				Весь Израиль								Тел. 03-5013440, 050-2275722magen.comp@gmail.comhttp://magen-c.com",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
,,"Ремонт и продажа кондиционеров","Бытовая техника (46) ","
				Ремонт и продажа кондиционеров
				ул. Гидеон 4, Хайфа 								Тел. 054-2282228",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
,,"Ремонт бытовой техники ""A.P. Service""","Бытовая техника (46) ","
				Ремонт бытовой техники ""A.P. Service""
				ул. ХаХарошет 11, Кармиэль								Тел. 072-2522540, 054-4222703",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
,,"Системы очистки воды, фильтры ""A.P. Service""","Бытовая техника (46) ","
				Системы очистки воды, фильтры ""A.P. Service""
				ул. ХаХарошет 11, Кармиэль				(наротив ""лишкат аводы"")				Тел. 072-2522540, 054-4222703",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
,,"Бытовая техника ""Электро Сомер""","Бытовая техника (46) ","
				Бытовая техника ""Электро Сомер""
				Кфар Хорфеш				(главная дорога)				Тел. 04-9570271",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
mailto:byosi@netvision.net.il,byosi@netvision.net.il,"""Яд шния"" - магазин подержанных вещей","Бытовая техника (46) ","
				""Яд шния"" - магазин подержанных вещей
				ул. ХаМагаль 7, Кармиэль				(промзона)				Тел. 04-9980080, 050-6911188byosi@netvision.net.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika
,,"Бытовая техника ""Рим""","Бытовая техника (46) ","
				Бытовая техника ""Рим""
				ул. ХаВади 38, Хайфа								Тел. 04-8512255, 054-4415058http://reemshop.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:technoshlomo@bezeqint.net,technoshlomo@bezeqint.net,"Хозтовары ""Техно Шломо""","Бытовая техника (46) ","
				Хозтовары ""Техно Шломо""
				ул. ХаХарошет 33, Кармиэль								Тел. 04-9888222, 052-2615843, 052-5268862				Факс. 04-9582971technoshlomo@bezeqint.net",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:sales@mobilementor.co.il,sales@mobilementor.co.il,"Мобильные телефоны ""Mobile Mentor""","Бытовая техника (46) ","
				Мобильные телефоны ""Mobile Mentor""
				ул. Ахи Эйлат 35, Кирьят Хаим								Тел. 04-8406090sales@mobilementor.co.ilhttp://mobilementor.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
,,"Кассовое оборудование ""И.Н. Микон""","Бытовая техника (46) ","
				Кассовое оборудование ""И.Н. Микон""
				ул. Керен ХаЙесод 37, Кирьят Бялик								Тел. 052-2812323, 052-2690577				Факс. 04-8707475",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
,,"Бытовая техника ""Bigelectric""","Бытовая техника (46) ","
				Бытовая техника ""Bigelectric""
				Дерех ХаАлуф Узи Наркис, Маалот				(рядом с т.ц. ""Кохав ХаЦафон"")				Тел. 04-9977249http://electrokubi.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:n-azih@windowslive.com,n-azih@windowslive.com,"Мини-бары, фильтры, кулеры ""Н.Р. Шивук Клали""","Бытовая техника (46) ","
				Мини-бары, фильтры, кулеры ""Н.Р. Шивук Клали""
				Маалот								Тел. 050-7776940, 052-6022267n-azih@windowslive.com",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:raafat.asadi@hotmail.com,raafat.asadi@hotmail.com,"Кондиционеры ""Мерказ Амизуг Мэакирур""","Бытовая техника (46) ","
				Кондиционеры ""Мерказ Амизуг Мэакирур""
				Дир Эль-Асад 				(рядом с Кармиэлем)				Тел. 052-6079744, 054-4839114				Факс. 04-9985314raafat.asadi@hotmail.com",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:telron@012.net.il,telron@012.net.il,"Бытовая техника ""Тельрон""","Бытовая техника (46) ","
				Бытовая техника ""Тельрон""
				ул. Вайцман 71, Нагария								Тел. 04-9928240				Факс. 04-9517337telron@012.net.ilhttp://www.telron.co.il",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:home0701@walla.com,home0701@walla.com,"Магазин ""Хоум Электрик""","Бытовая техника (46) ","
				Магазин ""Хоум Электрик""
				Джулис				(на первом кольце направо, по правой стороне)				Тел. 04-9563949/51, 057-6423286home0701@walla.com",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
,,"Бытовая техника ""Хашмаль Мор ХаГалиль""","Бытовая техника (46) ","
				Бытовая техника ""Хашмаль Мор ХаГалиль""
				Биина				(поворот налево на въезде)				Тел. 04-9583405, 057-7771553				Факс. 04-9982253",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:mikitek@walla.com,mikitek@walla.com,"Кассовое оборудование ""Микитек""","Бытовая техника (46) ","
				Кассовое оборудование ""Микитек""
				ул. Бен Ами 12, Акко								Тел. 04-9558444, 052-4832444mikitek@walla.com",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:tateliron1@gmail.com,tateliron1@gmail.com,"Ремонт плазменных и LCD-телевизоров ""Телирон""","Бытовая техника (46) ","
				Ремонт плазменных и LCD-телевизоров ""Телирон""
				ул. Ханс Молер 3, Кирьят Бялик								Тел. 04-8729820, 052-4654630tateliron1@gmail.com",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
,,"Бытовая техника и освещение ""Сархан""","Бытовая техника (46) ","
				Бытовая техника и освещение ""Сархан""
				Маджд Аль-Крум								Тел. 04-9889512, 054-4571582				Факс. 04-9889513",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
mailto:wasfe.mansour@gmail.com,wasfe.mansour@gmail.com,"Электротовары ""MHDR Electronics""","Бытовая техника (46) ","
				Электротовары ""MHDR Electronics""
				ул. Шломо Бен Йосеф 25, Нагария								Тел. 04-8490292				Факс. 04-8490370wasfe.mansour@gmail.comhttp://www.mhdr-elec.com",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
,,"Бытовая техника ""Электро Руди""","Бытовая техника (46) ","
				Бытовая техника ""Электро Руди""
				Ярка				(не доезжая до т.ц. ""Мерказ Амазон"", по правой стороне)				Тел. 04-9963320				Факс. 04-9561160",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
,,"Подержанные товары ""Яд Шния""","Бытовая техника (46) ","
				Подержанные товары ""Яд Шния""
				ул. ХаХарошет 11, Кармиэль								Тел. 04-9981118",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
,,"Бытовая техника ""Мекор ХаМатанот""","Бытовая техника (46) ","
				Бытовая техника ""Мекор ХаМатанот""
				Кфар-Ясиф				(на выезде, по правой стороне)				Тел. 04-9976567, 050-5891269, 050-5891268",http://info24.co.il/coupons/vse-goroda/bytovaia_technika/2
